Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Botswana,BWA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.200000003,0.400000006,3.099999905,0.400000006,0.600000024,0.800000012,0.5,0.300000012,0.200000003,0.200000003,0.200000003,0.200000003,0.267,0.287,0.306,0.277,0.299,0.315,0.0,0.0,0.0,0.0,0.121,0.121,0.129878467,0.141492,0.107736,0.1203706666666666,0.1330053333333333,0.14564,0.113606,0.675495,0.3694059999999999,0.063317,0.10813599468409224
Brazil,BRA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,164.1000061,180.1999969,254.3000031,316.7000122,407.1000061,460.5,471.6000061,499.2999878,571.2999878,570.5,588.2000122,644.9000244,734.7000122,692.0999756,831.7000122,909.2000122,1014.400024,1013.700012,975.7999878,1147.900024,1082.0,1005.299988,1143.300049,1284.300049,1468.5,1581.900024,1644.800049,1789.900024,1642.800049,1462.900024,1727.901,1467.445,1539.738,1478.37,1499.485,1530.675,1412.26,1477.828,1807.062,1782.3,1302.474648,1294.49545,1363.447091,1637.382,1596.774,1493.939,1513.832873,1736.549227,1845.64776,1521.14944,1209.70683,1294.48671,1268.4594973414812
British Virgin Islands,VGB,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,,,,,4.599999905,4.400000095,4.5,4.900000095,6.0,8.600000382,9.899999619,22.0,30.0,64.80000305,94.40000153,110.0,108.0999985,120.4000015,120.4000015,148.8999939,140.231,126.014,161.477,149.443,131.441,134.136,130.181,116.368,104.195,90.441,148.524,149.579,128.234,127.595004,115.389,115.147,124.259,132.612,129.352,122.45694,40.227,23.07942,17.96300617327388
Bulgaria,BGR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,4.900000095,5.099999905,5.599999905,6.300000191,6.5,6.5,7.0,7.199999809,7.599999905,8.100000382,8.899999619,9.0,9.5,10.5,11.69999981,8.0,8.699999809,9.600000382,9.0,7.699999809,8.0,5.900000095,14.39999962,27.10000038,30.89999962,29.89999962,23.89999962,31.60000038,30.39999962,12.39999962,5.955,2.405,0.031,0.628,2.558,3.105,3.38,2.952,2.278,1.73,2.13518,2.29862,1.93406,1.731,1.722,1.53095,1.769247647,1.71896,1.375,1.257,1.022,0.058087,0.041306181921797705
Burkina Faso,BFA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.800000191,7.099999905,8.0,8.300000191,10.80000019,11.5,13.10000038,13.0,14.69999981,17.10000038,18.0,21.0,21.0,18.79999924,17.39999962,18.39999962,16.5,16.29999924,15.89999962,18.0,17.70000076,16.10000038,15.19999981,14.30000019,14.5,15.30000019,16.5,15.30000019,13.5,13.69999981,12.273,7.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.085805956,0.071111103,0.062208,0.05088,0.055868736,0.022020102,0.022108182,0.104614,0.04808,0.081986,0.115892,0.21588977515412597
Burundi,BDI,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,,,,,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.100000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,CPV,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,,,,,,,0.100000002,0.100000002,0.200000003,0.200000003,0.200000003,0.300000012,0.300000012,0.300000012,0.400000006,0.400000006,0.300000012,0.5,0.5,0.5,0.600000024,0.699999988,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.600000024,0.400000006,0.600000024,0.64,0.366,0.368,0.406,0.834,1.506,1.79,1.611,1.574,1.426,1.641,1.955489972,2.179387385,1.941924,1.882368,1.423935,0.965502,0.507069,0.048636,0.049965,0.031316,0.016159056,0.00902058943079595
Cambodia,KHM,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,0.400000006,0.699999988,0.699999988,0.5,0.5,0.400000006,0.400000006,0.400000006,0.54748000576,0.69496000552,0.84244000528,0.98992000504,1.1374000048,1.28488000456,1.4323600043199998,1.5798400040799998,1.7273200038399998,1.8748000036,2.02228000336,2.16976000312,2.31724000288,2.46472000264,2.6122000024,2.75968000216,2.9071600019199995,3.05464000168,3.2021200014399995,3.3496000012,3.49708000096,3.64456000072,3.79204000048,3.93952000024,4.087,3.265,3.143,1.202,1.111,2.03,0.661,0.987,0.022663076,0.095160051,0.068172612,1.070953761,1.75384,2.30126,1.441695,0.876,0.67645,0.68860716,0.5972152945395255,0.5179529472681232,0.4492102898847981
Cameroon,CMR,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,,,,,,,,,,,5.900000095,6.800000191,4.300000191,7.400000095,8.300000191,8.5,5.699999809,5.800000191,7.800000191,8.199999809,27.70000076,31.39999962,45.70000076,43.5,55.5,56.90000153,34.79999924,36.70000076,38.29999924,19.10000038,13.10000038,9.600000382,9.300000191,21.70000076,25.0,38.90000153,41.59999847,34.40000153,51.59999847,46.5,42.03,36.88,42.717,20.254,22.825,24.399,29.001,26.095,25.522,23.105,0.0,0.0,0.0,0.0,0.0133634,0.0267268,0.0400902,0.0534536,0.066817,0.031566,0.024731,0.026099,0.025548534314234306
